project,run_id,run_name,step,metric,value
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2600,loss/total,0.02051623910665512
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2600,debug/z_std,0.9894203543663025
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2600,loss/mse,0.006757537834346294
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2600,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2600,stats/psnr,21.702116012573242
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2600,amp/scale,131072
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2600,loss/lpips,0.06879350543022156
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2600,stats/keep_prob,0.5443637371063232
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2700,stats/masked_frac,0.45733642578125
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2700,time/hrs,0.4793932529290517
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2700,loss/total,0.021386122331023216
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2700,debug/z_std,0.9910784363746643
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2700,loss/mse,0.006321599707007408
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2700,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2700,stats/psnr,21.991731643676758
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2700,amp/scale,131072
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2700,loss/lpips,0.07532261312007904
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2700,stats/keep_prob,0.5409859418869019
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2800,stats/masked_frac,0.4344024658203125
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2800,time/hrs,0.4971515137619442
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2800,loss/total,0.02045620046555996
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2800,debug/z_std,0.9920724630355835
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2800,loss/mse,0.006252272520214319
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2800,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2800,stats/psnr,22.039623260498047
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2800,amp/scale,131072
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2800,loss/lpips,0.07101963460445404
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2800,stats/keep_prob,0.5649532675743103
